Kategoria,Podkategoria,Pytanie,Typ_pytania,Margines,Podpucha1,Podpucha2,Podpucha3,Akceptowana_Odpowiedź,Media
Historia,Komunikacja,W którym roku Poczta Polska ostatecznie wycofała usługę Telegramu Pocztowego dla klientów indywidualnych?,Liczba,5,,,,2018
Historia,Kulinaria,"W latach 40. XX wieku pewien rząd aktywnie promował konkretne danie uliczne jako symbol narodowej tożsamości – rozdając przepisy i wspierając sprzedawców, by wyprzeć kulinarne wpływy sąsiedniego mocarstwa. Dziś to najbardziej rozpoznawalne danie swojego kraju na świecie. Jak się nazywa?",ABCD,,Kimchi,Sushi,Gyros ,Pad Tai
Historia,Kryzysy,"Radzieccy obywatele nauczyli się czytać między wierszami: gdy w telewizji państwowej nagle pojawiał się pewien program i nie schodził z anteny przez wiele godzin, wiedzieli że na Kremlu trwa kryzys. Co to było?",ABCD,,Teleturniej KWN,Serial Siedemnaście mgnień wiosny,Bajka Wilk i Zając,Balet Jezioro Łabędzie
Ekonomia,Równość,"Miara nierówności dochodowej lub majątkowej społeczeństwa. Przyjmuje wartości od 0 (pełna równość – wszyscy zarabiają tyle samo) do 1 (pełna nierówność – jedna osoba posiada cały dochód). Jak nazywa się ten wskaźnik, opracowany w 1912 roku przez włoskiego statystyka?",ABCD,,Krzywa Lorenza,Indeks HDI,Wskaźnik Theil'a,Współczynnik Giniego
Ekonomia,Stopy,"Pożycz w walucie kraju o niskich stopach procentowych, zainwestuj tam gdzie stopy są wyższe i zainkasuj różnicę. Przez lata idealnym źródłem dla tej strategii był japoński jen – Japonia utrzymywała stopy bliskie zeru przez dekady. W sierpniu 2024 Bank Japonii je podniósł, jen się umocnił, a inwestorzy masowo zamykali pozycje doprowadzając do tąpnięcia na globalnych rynkach. Jak nazywa się ta strategia?",ABCD,,Margin call,Short selling,Arbitraż,Carry trade
Ekonomia,Podatki,"Wyobraź sobie dwa skrajne państwa: w pierwszym podatek dochodowy wynosi 0%, w drugim 100% – więc nikt nie chce pracować ani wykazywać zysków. Paradoksalnie, oba zbierają dokładnie tyle samo – nic. Pewien amerykański ekonomista narysował w 1974 roku na serwetce krzywą, która opisuje tę zależność i sugeruje istnienie optymalnej stawki podatkowej. Jak nazywa się ta krzywa?",ABCD,,Engla,Kuznetsa,Phillipsa,Laffera
Stolec 💩,Toaleta,"Test MaP powstał by oceniać toalety, które musiały sprostać wymogom oszczędności wody w USA. Test sprawdza ile kupy dana toaleta potrafi obsłużyć w jednym spłukaniu. Jaki kulinarny produkt wykorzystywany jest w tym teście jako substytut kupy?",ABCD,,Hummus ,Mąka ziemniaczana,Masło orzechowe,Pasta sojowa
Stolec 💩,Kara,"Nieposprzątanie po swoim psie to problem w wielu krajach. Jednym ze sposobów walki z nim jest pobieranie próbki DNA od każdego psa i budowanie miejskiej bazy danych – gdy znajdzie się porzucona kupa, można ją dopasować do właściciela i wystawić mandat. W którym europejskim kraju liczba miast stosujących ten system jest największa?",ABCD,,Niemcy,Włochy,Francja,Hiszpania
Stolec 💩,Tropiki,"Łaskunek palmowy zjada dojrzałe, czerwone ziarna kawowca. Jego układ trawienny fermentuje je w wyjątkowy sposób — enzymy rozkładają białka odpowiedzialne za gorycz, nadając kawie wyjątkowo łagodny, kremowy smak z nutami czekolady i karmelu, bez typowej kawowej goryczki. Jak nazywa się kawa z pozyskanych od łaskunka ziaren?",ABCD,,Jamaican Blue Mountain,Black Ivory,Gevalia,Kopi Luwak
Cyfrowy Cyrk,Klasyka Sci-Fi,"Gooseworx przy tworzeniu cyfrowego cyrku inspirowała się klasycznym opowiadaniem science fiction pod tytułem ""I have no mouth and I must scream"" z 1967 r, które zostało też zaadoptowane w formie gry komputerowej w 1995 r. Jak nazywa się AI stanowiące głównego antagonistę obu utworów?",ABCD,,GLaDOS,COLOSSUS,HAL 9000,AM
